"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","soybean","7","5","309","5.73","0.49","0.19","0","0","0","0","0","NULL","NULL","NULL","7123","1187.17","962","2","2","NN","768.53","-0.16","341.50","34","0.97","670.86","-0.22","131.90","29","1.00"
"1","sunlight","8","17","2621","7.87","4.63","2.00","0","1","1","0","0","NULL","4.63","4.63","7217","1031.00","1499","2","2","NN","643.75","-0.51","146.17","32","1.00","657.96","-0.36","82.15","28","1.00"
"1","tablecloth","10","NULL","80","4.38","0.94","0.48","0","0","0","0","0","NULL","NULL","NULL","13057","1450.78","1358","3","2","NN","703.41","-0.20","221.83","32","1.00","714.59","-0.05","142.99","27","0.96"
"1","teacup","6","NULL","103","4.63","0.65","0.33","0","0","0","0","0","NULL","NULL","NULL","8736","1747.20","1558","2","2","NN","666.61","-0.45","208.62","33","1.00","654.45","-0.23","100.61","29","1.00"
"1","teamwork","8","1","1217","7.10","2.00","0.98","0","0","0","0","0","NULL","NULL","NULL","10526","1503.71","1577","2","2","NN","687.63","-0.30","222.15","35","1.00","663.26","-0.31","171.68","27","1.00"
"1","toothache","9","NULL","114","4.74","1.14","0.39","0","0","0","0","0","NULL","NULL","NULL","10395","1299.38","1711","2","2","NN","749.00","-0.14","381.04","29","0.85","664.50","-0.21","164.27","26","1.00"
"1","toothpaste","10","1","714","6.57","3.14","1.32","0","0","0","0","0","NULL","NULL","NULL","15042","1671.33","1911","2","2","NN","641.54","-0.41","182.35","35","1.00","688.00","-0.14","233.97","27","1.00"
"1","videotape","9","NULL","2152","7.67","5.18","1.94","0","0","0","0","0","NULL","NULL","NULL","9784","1223.00","1228","4","2","NN","677.24","-0.42","224.42","34","1.00","598.93","-0.55","122.80","27","1.00"
"1","woodshed","8","1","63","4.14","0.43","0.19","0","0","0","0","0","NULL","NULL","NULL","9743","1391.86","1945","2","2","NN","845.03","0.06","238.42","32","0.94","690.65","-0.32","238.58","26","0.96"
"2","girlfriend","10","NULL","7675","8.95","76.10","23.20","0","0","0","0","0","NULL","NULL","NULL","11854","1317.11","1344","2","2","NN","690.47","-0.37","312.15","32","1.00","648.07","-0.50","88.86","28","1.00"

